variable;lower;median;upper;distribution;label;Description
fertilizer_cost_baseline;200;NA;300;posnorm;Conventional system fertilizer cost (EUR/ha/year);Conventional system fertilizer cost for wheat (EUR/ha/year) for baseline comparisson
crop_protection_cost_baseline;100;NA;200;posnorm;Conventional system crop protection cost (EUR/ha/year);Cost for corp protection including insecticides, herbicides, etc. (EUR/ha/year)
machinery_maintenance_baseline;1000;NA;3000;posnorm;Machinery maintenance cost (EUR) (conventional system);Yearly machinery cost for conventional system
labour_cost_baseline;12;NA;25;posnorm;Labour cost (EUR/hour) (conventional system);Labour cost including weeding, harvesting, etc. (EUR/hour)
labour_hours_baseline;10;NA;30;posnorm;Labour hours (hour/ha) (conventional system);Labour hours including weeding, harvesting, pruning, etc. (hour/ha)
leasing_cost_baseline;500;NA;600;posnorm;Leasing cost (EUR/ha/year);Leasing cost for the extra land of 25 ha that is required to make the system economically feasible (EUR/ha/year)
leased_hectares_baseline;25;NA;25;const;Leased land (ha);Extra land that is leased by the farmer
owned_hectares_baseline;15;NA;15;const;Owned land (ha);Land that is owned by the farmer (ha)
total_hectares_baseline;40;NA;40;const;Owned + leased land (ha);Total land that is available to the farmer (ha)
discount_rate;2;;6;posnorm;Discount rate;Discount rate
